Comments,Like,Dislike,User
국민청원 67만명의 힘으로 춘천 차이나타운 건설을 막아냈습니다! 강릉 정동진 차이나드림시티 건설중단도 국민여러분의 힘이 필요합니다! https://www1.president.go.kr/petitions/598133,6,0,na19****
최강의 민폐국가...제발 분해되긴,6,0,qkfr****
책임감이 뭔지나 아는 종족이냐고 저것들이 부끄러운것도 모르는 것들인데,6,0,doda****
시진핑 머가리로 조준 부탁한다,5,0,vnfm****
암튼 민폐국,5,0,yozz****
도움 안되는 중국 없어져야할 나라1위다,5,0,snoo****
청와대 문재앙 위로 떨어지길...??????,8,4,andr****
잘타니깐 늬네 베이징에 떨어지길 바란다,377,1,mavi****
폭탄 제외하고 다 터진다는 중국산 맞나요?,93,1,jnj0****
지구상에 도움이 정말 1도 안되는 나라...,65,0,sb64****
"사회주의 국가는 대표적으로 미얀마 공산화 지원 중인 세계의 바퀴벌레국 중국, 세계적 조폭국가 러시아, 세계적 근대왕조국가 북녘땅이 있다. 북유럽 국가는 거의 다 민주주의 체제이며 ""얀테의 법칙""이라는 문화가 있는거지 '사회민주주의'라는 소리는 꾸며낸 주장일 뿐이다.",33,2,sequ****
잘타게 만들었으면 안탈꺼고 지구귀환 목적으로 안타고 버티게 만들었으면 잘 탈꺼 같은 느낌,5,0,panf****
대기권돌파할때 탄다고? 그럼 올라갈때도 다 타서 없어지냐?,4,0,dlad****
고 투더 베이징,4,1,love****
Made in China 내구성 구린걸 저런식으로 포장하내,3,0,jhsa****
메이드인차이나. 지구 바퀴벌레들,3,0,kjm2****
마데 인 치나산중 성능 확실한건 코로나랑 미세먼지뿐,3,0,bara****
일제 족발이 시절에 짱깨들을 더 많이 못죽인건 인류 역사상 가장 큰 오점이다 일제 족발이들도 죽여야할 족속들이긴하다만 현재로서는 짱깨는 일제족발이들이 좀 더 죽였어야했다,3,0,kwak****
그렇게 잘타면 이륙할땐 어찌버텼냐?,2,0,jngh****
무려 중국산이다. 안전하단 말을 믿는건 자유.,2,0,crak****
올라갈때는 멀쩡했냐!기술이 딸리면.그냥.있어라 민폐부리지말고. 짐승같은 것들인. .,2,0,ring****
국제적 민폐국,2,0,ydh8****
베이징으로 떨어져라.? 쓰레기는 쓰레기통에..,2,0,naon****
떨어져서 누구죽으면 시진핑대가리에 미사일쏴주면됨,2,0,bbub****
잘 타면서 중국 주석궁에 딱 떨어지길 희망합니다!,2,0,kdu9****
도대체 어떤 대가리를 가져야 소중한 생명을 택배로 보내냐.. 하 진짜 미개하다,236,0,gang****
"우리나라도 개장수, 개농장, 집에서 강아지, 고양이 교배시켜 인터넷으로 애들 파는 것들 모두 일망타진 시켜야.",62,5,anmu****
우리나라도 저렇게 팔아요ㅠ 요즘 사고파는 강아지 사이트생겨서 거기도 논란있었는데. 우리나라도 동물보호법 엄격히 규제 해야합니다ㅠ,46,1,momo****
중국스럽네 놀랄일도 아니다,37,2,wkdt****
중국 니들은 니들 땅에서 뭘 하건 세상 밖으로 기어나오지 않으면 됨. 중국 기사 보기도 싫다.,22,0,torr****
중국은 높은 산봉우립니다 쩝쩝쭈어어업~~~ 미스터 문,7,3,777l****
생명이라고 보호해야한다면서 일부의 생명들만 보호하는것도 웃기고 저렇게 동물들을 생명이 없는 물건마냥 취급하는것도 너무 싫다,2,0,ssy7****
저주받아라 동물을택배로 받는인간들은 뭐냐!!!,2,0,just****
"우리도 얼마전까지 저랬어아니 개,고양이 빼고는 여전히 택배거래가 활발하지",2,0,harl****
하;; 진짜 어찌 저런 생각을 ...,2,0,yeeu****
중국 욕할것 없어요 우리나라도 만만치 않아요 동물법좀 강화시켜라,2,1,choi****
중국이 중국했네,1,0,sda2****
중국인은 사람의 모양을 한 바퀴벌레다 -도조 히데키-,1,0,tjsg****
와 이게 정말인가요??...정말 무서운 사람들이네요. 어떻게 생명을 랜덤박스로 보낼생각을 하는지... 돈이 좋다고해도 이건 정말 아닌거 같네요...반성하시길 바랍니다,1,0,yout****
분양 받아놓고 시끄럽게 짖는다니 관리 안된다니 별의 별 이유로 책임없이 파양하고 길거리 어디다가 버려놓는 꼬라지는 한국도 똑같은거 아님? 도긴개긴이라고 본다 난 ㅋㅋ,1,0,kby1****
또 중국이 중국했네... 무식하고 미개하고 두뇌라는 것이 없는 것 같다.,1,0,xriv****
식용으로 배달하는데 무슨 문제지?,1,0,wher****
역시 지구에서 사라져야할 인간들 중국 이젠 지친다,1,0,nish****
"요즘 중국땜에 아시아인 증오범죄 피해받는것도 열받는데, 이걸보니 지구의쓰레기 중국새끼들 더 싫어지네.",1,0,jwhu****
사는 놈이나 파는 놈이나,1,0,rt45****
중.국.은.인.류.의.적,19,0,aneh****
지구상 최대의 민폐국... 중국,1,0,dmle****
