Comments,Like,Dislike,User
그래소 무슨 잘못이라는건가요? 이럴땐 잘못이아니라 ㅉㄱ의 공산 검열이라고 쓰는겁니다,70,0,stai****
지구상에서 멸종시켜야할 종족이 짱깨들이다.자신들의 잘못은 절대 인정도 사과도 안하는 족속들..한마디로 쓰레기들이다.,46,1,hoho****
어떤일을 추진 할 때 중국의 더러운 때 묻은건 하지 말아야 한다 그에비해 미국은 양반이지 파이는 주도해도 적어도 인권은 있으니 항의도 할 수나 있음 중국은 닥처 식임,34,0,youn****
난 이러다 중국에 나라 통째로 넘기자는 법안 만들지도 모를거 같아 심히 무섭다...조선족 국회의원이나 장관나오면 바로 한국도 중국에 넘어간다 ㅋ 매국노 한넘이 대통령 되면 대한민국 생긴지 100년도 안되서 지도에서 지워질지도 몰러...,8,0,gopo****
중국이제일싫어 일본보다더싫어,7,0,area****
"우리나라 사람들중에 중국, 대만, 홍콩을 한 나라로 생각하는 사람이 있을까? 중국은 참 이기적이야.",5,0,ckdl****
홍콩과 대만을 중국의 일부로 존중하는 한국 친구들이 많다고....? 어디서 쳐 듣고 온 헛소리임??,5,0,pinj****
그런게 더러운 돈이지. 얼마전까지 해외에 구걸이나 하던것들이 돈 좀 생겼다고 양아치 짓을 하네.,4,0,sunl****
왜 사과해?,4,0,kyu4****
타이완 넘버원!! ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,3,0,mode****
사과라니??? 해적집단 중국짱깨들에게 왜 사과?? 쓰레기 주화파로구나..,3,0,kysw****
"문재인 발작버튼도 일본 언론에서 쓴 ""북한의 개"" 아닌가? 공산당들은 개라는 단어에 무척 민감하고 싫어하네. 한국내 간첩 좌파들 부를때 앞으로 북한의 개 또는 중국의 개라고 불러야겠다.",4,2,cham****
박프로~~^^ 멋찌다! 응원 합니다!,2,0,wors****
중국은 사실을 말하면 화를 냅니다. 이상한 민족이죠.,2,0,0508****
당신은 공산당원이 아니고 대한민국 국민이다.. 국익에 반하지 않는 한 어떠한 말을 할 수 있는 자유가 있다.!!! 중공의 사상검열에 응할 필요가 없다 !!! 아주 정상적이고 잘한 거다.!!!,2,0,kedc****
중국이 일본보다 더 싫다.,2,0,hsid****
중국은 그냥 갈기갈기 찢어서 민족독립이 답이다,2,0,u_a_****
개인 방송에서 저런 말을 하는 게 뭐가 문제지??? 세계가 합심해서 중국의 갑질을 막아야 한다.,2,1,redo****
중국 같은 민족성 구데기인 나라엔 투자 안 한다 ㅋㅋ,15,1,bbon****
중국업체 추천하는 놈들도 다 사기꾼임 한국에 상장했던 짱골라 기업들 하나같이 먹튀했다 그게 짱골라 종특임,12,1,eufr****
그래서 동팡차이푸 하라고? 지금 주식하는 사람들은 조심해야되. 그런기사를 써야지. 주식해서 돈번사람들은 그전부터 꾸준히 해왔던 사람들중에서 자신이 갖고있는 주식 신경안쓴사람들만 돈벌었어. 언론들 보고 주식시작한사람들은 정신차려야되. 대한민국 언론들 대한민국 코스피지수가 2800에 육박할때까지 기사한줄 안썼던 쒸레기들이야. 2000초반부터 3000천가는데 불과 몆개월이었어. 그사이에 경제 잘된다고 할까봐 기사자체를 안썼던놈들이야. 언론보고 뭐 시작하려는 사람들은 정신차려라.,4,0,jang****
응 안사~~ 한번 피보면 중국은 안볼거야,1,0,vyoo****
ㄹㅇ 토토 사이트처럼 생김,1,0,ksk4****
떨어지기 전까지 입 꾹닫고있다가 태평양으로 떨어질것 같으니까 보란듯이 당당해지네 ㅋㅋㅋㅋ,258,7,rumi****
하여간 일생 도움안되는 종족.,74,1,sgts****
지구의 암세포들,34,0,chil****
"하여간 중국, 품질관리(QC)는 거지같이 해요. 이번 로켓발사도 그 연장선상에 있는 거고. 말이 ""세계의 공장""이지, 현실은 감독관 없으면 아무것도 못하는 무한의 원숭이 공장.",18,3,suga****
일본 중국 둘다 싫다,14,7,thf2****
세계적으로 대형사건은 사건대로 벌리고 바이러스는 바이러스대로 벌리는 짱깽이들..그러면서도 다 지들 잘났다고 떠들어대기는..죄책감 1도 없는 나쁜 쎄키들..그러니 공산당이지..,6,0,nets****
"코로나, 영토분쟁 등 국제사회에 온갖 피해란 피해는 다 주면서 깨끗한 척 하지 마라.",5,0,dmsc****
중국은 사람이라는거 자체부터 거짓말 아닌가?,4,0,2844****
한국에 사는 장개들도 번호 붙여서 잘 감시하자. 어제 반도체공장 인근서 장개님들 단체로 도시락 까고 있더라. 꽃밭도 아니고 시냇가도 아니고 공장옆에 붙어서 도시락먹는거 보니 뭔가 찍어서 정보 얻으려는 짓인듯.,3,0,osca****
진짜 저질 국가,3,1,hhm9****
"전세계 민폐는 반성을 모른다. 북핵 돕고 오리발, 우한코로나 퍼뜨리고 오리발, 대기질 오염시키고 오리발, 기술도적질을 일삼고 오리발이다.",2,0,kwin****
거짓으로 똘똘뭉친 중공,2,0,p644****
지구에서 중국을 그대로 도려내서 안드로메다로 날려버려도 지구는 아무일 없다는듯 더 행복해질듯,2,0,a553****
선진국 노릇할려구 가랭이 찢어지는 중국은 이미 세계에 민폐국가이다 거기에다 우한 코로나 발상지 ㅋㅋㅋㅋ온세계를 병들게 만든 죄인 국가,2,0,prov****
뭘해도 민폐,2,0,jun8****
"붤레같은 족속들 그냥 멸했으면 홍콩, 티벳, 등등 다독립되길",2,0,1kok****
중국 없어져라,2,0,da_a****
이런주장을 봐도 알수있잖아 중국이 얼마나 오만방자한지 그게 누구에게 피해가 가건 중국은 책임없다야~,1,0,myta****
"아름다운 우리 지구를 위해..ㅉㅉㅉㅉ 꺼져.. 지구상 민폐 족속 = 중국, 중국인",1,0,milm****
양심좀 있어라. 부끄러움을 모르는 사람들 불쌍하기까지 하네,1,0,shou****
중국이 대만을 침공한다면 중국은 어마어마한 희생을 감수하고 무모한 행동을 할까 그동안 쌓아올린 경제도 두동강이가 날텐데 내생각은 그냥 발악을 하는거여 겁먹은 개가 살기 위해 짖어대듯이,17,6,wjse****
대만이 점령당하면 한국과 일본의 중동산 원유 수송로가 차단되고 중국에 통행세에 해당하는 댓가를 제공하지 못하도록 인도와 베트남에서 가까운 필리핀제도에서 미국해군이 중국해군을 압박하고 한국과 일본해군도 쿼드에 동참해서 중국의 군사력이 분산되도록 해서 도발을 못하게 억제해야 합니다!,6,1,xbas****
대만이 부흥하면 할수록 중국은 가만히 지켜보자니 공산당의 정당성이 흔들리는 셈이라 아이러니,3,1,boss****
대만은 중국댐만 공격해도 상당한 타격을 줄것이다~~~그냥 호락호락하게 넘어가지마라 ~~,2,0,youn****
미국이중국보고핵탄두개수줄려라하는데 이참에 몇개 던지면 대만도 찾을수있고 그럼미국도좋아하잖아.ㅋ,0,0,tauz****
대만군 상층부가 장제스랑 같이 건너온군인 후손들이라죄다 스파이밖에 없어서 짱깨가 침공하면 그대로 항복하고 다털릴듯,2,3,kjy1****
중국군에 대항할 대만군인이 5%미만이야 60%는중국군과함께 한미일과싸운다,1,4,petp****
지네땅에 떨어져야 하는데...,2859,9,dong****
"문재앙 (69세, 간첩) 죄국 (57세, 사기꾼)",2688,852,inte****
쓰레기는 중국으로!,548,6,jupi****
중국놈들 코로나 퍼뜨리고 황사먼지 공장먼지 쓰레기소각먼지 퍼뜨리고 하다하다 우주쓰레기까지...... 중국종자 자체가싫다,346,4,milk****
악플러들은 뭘해도 욕만한다. 이래서 네이버 기사들이 피곤함,639,511,air0****
아니 우리나라에 안 떨어진다는데 왜케 다들 화가 나 있음?ㅋㅋㅋㅋㅋ,689,568,4grn****
"일본이 오염수 방류할땐 입에 거품물더니 중국 황사, 미세먼지는 아닥하는거봐라",130,12,pys2****
"노무현이 조선족도 우리 동포라며 비자완화 및 국내취업 무제한 허용한 덕분에 고용주들만 싼 중국애들 써서 좋고, 서민들은 알바자리 잃음. .... 지문날인 폐지로 오원춘 등 조선족 강력범죄 증가는 덤..... 심각한 건 문재 앙이 이젠 조선족들에게 투표권까지 주려 한다는 것..... 지금 민주당이 대놓고 조선족에 선거 운동 중이다. 다음 우파정권은 반드시 친중파 척결해야 함. 이대로 가다간 화교가 모든 걸 장악한 동남아 수준으로 전락할 것",131,26,flig****
청와대에 떨어지면 좋겠다,157,80,yjh4****
"세계의 암적인 존재 ""짱꼴라""",60,0,kkjt****
있어도 없다고 하겠지,81,32,002o****
"대한민국을 위협하는 악의 삼총사 : 1. 중공, 북괴 / 2. 중공 자극하는 사드철수하고 북괴에 퍼주자면서 미국 일본에는 no! 하는 친중 종북 민주당, 정의당 / 3. 민주당, 정의당의 100%표밭 절 라도 (전국의 절라 핏줄 몽땅 포함)",67,21,namt****
"세계의 바이러스 중국, 주사파는 개뿔, 주체사상 숭배한다며 중국에는 주체는 커녕 노비처럼 굽신굽신. 진보는 개뿔, 조선시대 수구꼴통 도덕군자 양반인 척 뒤로는 온갖 수탈 부패 성추행. 그런데도 아직도 섬기는 대깨 노비들",40,8,sct0****
강원도에 625중공군 추모하는 타운 만들자는 더불어 문산당,34,3,kaka****
베이징에 떨어지게 해주세요,31,1,10wa****
한국만 피해없으면 되나? 중국 진짜 있어서는 안될 나라같다,29,0,eee9****
"지구의 3대 악의 축인 시진핑, 김정은, 문재인 머리에 떨어지길 학수고대한다.",34,9,free****
내려오다 3개로 쪼개져서 문재인 대가리에 하나... 시진핑 대가리에 하나... 정으니 대가리에 하나씩 떨어져라,28,4,tudo****
전세계 민폐인 중국...그 중국을 대국이라 칭하며 머리숙이는 문가...이게 대한민국 현실이다.,24,5,bono****
쓰레기는 봉투에 담아 직접 가져가시기 바랍니다^^,17,1,suyo****
역시 미국이다 만약 중공이 미국 앞지러면 아세아는 중공것이 된다 힘으로 아세아 전체가 식민지화로 아임조공국으로 미국은 중공을 확실하게 개털식혀야 아세아가산다,14,1,zrqu****
문재인은 공격적인 중국 눈치보느라 호흡곤란,9,0,bsls****
대만이 어째서 니네 땅이냐 도둑놈들아~,7,2,quan****
중국인은 대만가려면 허가필요함 ㅋㅋㅋㅋ 고로 같은 나라 아님 ㅋㅋㅋㅋㅋ,5,0,zkep****
원래 바퀴벌레 재내는 처맞아야 정신차림 ㅋㅋㅋ 역사적으로보면 주기적으로 항상 남의나라 자신있게 처들어가서 정작 지네나라 망한게 반복되던 애들임,3,2,eejr****
전쟁에 기억을 잊어 먹을때가 되었지~~~4차 대전의 원인 제공은 중국이 될거야~~~민주주의로 바뀌면 평화롭겠구만~~독재ㄱ ㅅ ㄲ ㄷ,1,0,ice3****
욕심 꾸러기 시진핑.,1,0,onye****
중공미사일 폭발은하는거냐?일단 시진핑한테 한발싸봐 그러면인정해줄께..;..,0,0,tequ****
아니 그래서 중국아ㅋㅋㅋㅋㅋ그렇게 꼬우면 미국 구축함 한 척이 너네 항모전단 한가운데 들어왔을때 선빵 때리지 그랬냐 쫄아서 뒷꽁무니 뺀 주제에 가오는 겁나 잡아요 옛소련도 그랬지 미국한테 까불다가 한순간에 잘 나가던 경제폭망,0,0,bbbi****
절대 우방 미국 파이팅! 중궈 주제에 미국 형님한테 덤벼~ 박살 중궈! 시진핑이도 한방에!,0,0,rhkr****
중국은 세계에 사과하고 각국에 손해배상을 해라!,11,2,dahd****
백신 맞아도 코로나19는 사라지지않는다. ㅋㅋㅋ,2,0,yh91****
그럴꺼야 충분히 이해가 가지 벌써 2년여를 창살없는 감옥에서 금고형을 치루고있으니...그러나 어쩌겠는가 참아야지 백신도 머잖아 충분히 공급할수있을테니 조금만더 기다립시다 지구촌 시민여려분,3,2,byrd****
저러고도 확진자 안나온다는 전세계 유일 청정낙원 차이나 클라스,1,0,pink****
합리적으로 판단하고 이성적으로 행동하면 그건 참다운 중공인이 절대 아니지...,0,0,dahd****
죽고죽어 세대가흘러야 자가면역이생긴다.다들 오늘만산다생각하고 적금깨고 널러가즈아~~~ㅋ,0,0,busa****
아직 중국의 코로나19 상황은 잘 통제되고 있다.노동절 연휴에 많은 사람들이 여행을 선택했다.아직 코로나19가 완전히 사라지지 않았으니 긴장의 끈을 놓을 수 없다.관광 명소는 반드시 방역 조치를 강화해야 한다.사람들도 마스크를 착용해야 한다.,0,0,colt****
아우씨 ~ 저런데를.가고싶을까?,0,0,bela****
저러다 또 유행되면 더 못나오게 될듯,0,0,sdiv****
"한국인들아.니들은 알아야 할게 있다.중국은 매년 노동절,추석,국경절(10월 1일),설날 등 4개의 명절은 연휴기간이다.그때마다 항상 여행지는 저렇다.올해만 특별한거 아니다.그냥 2019년에 코로나땜에 잠시 여행못했을뿐이다.중국은 코로나를 통제한지 1년도 넘었다.현재 국내 확진자는 전부 해외입국자들이다.아주 가끔씩 본토 확진자가 몇명씩 밖에 안나온다.나왔다도 며칠 안지나면 바로 사라진다.",0,1,jean****
지구에 필요없음 니들만 없어도 살만한 세상,27,2,king****
인도 인구가 이번 코르나에 5천만명 이상 죽어도 되겠네,2,5,hooh****
하나님이 코로나를 내리신 것은 중국과 인도 같은 미개한 나라들의 벌레들에게 살충제로 내리신 것임. 각각 최소 10억 미만으로 인구를 낮춰야 함,2,6,kore****
인도는 보니까 전국민 전멸할거 같드만 무슨,0,0,youn****
인도 저기도 미세먼지 장난아님..석탄발전소도 상당하고..,0,1,leno****
중국 경졔가 좋아져야 한국 경제가 좋아진다 중국 홧팅 중국 여성분들 자녀 두명 이상낳으세요 홧팅,0,25,jme6****
중국을 진공 포장할 수 없나,347,4,wnsr****
니들 잘 살고싶음 나무부터 심어라 그러다 숨못쉬어 디지겄다,107,2,nobl****
중국에서 모래알은 바람타고 넘어온다면서... 미세먼지는 절대 안넘오 온다는 사람들,75,2,a127****
"몽골사막에 한국 나무심기지원할때 구경만 하더만.,",70,2,wint****
인터스텔라 생각나네,43,2,back****
내몽고가 중국 땅이니 몽골이라 표현하지 마시고 중국이라해야 하지 않나요,7,0,loui****
쨍깨들은 그냥 인류의 적이고개들이다.,6,0,st85****
중국은 남부지역은 기후도 좋고 살만한데 북서부 지역은 어찌 사람이 살까싶다.,7,2,gtrd****
오천년의 적 중공!!!!! 차가 매일 매일 더러워져서 죽긋다 정말...갈기 갈기 찢어지기를...미국 영국 일본 부탁해요~~,6,1,trio****
근본적 대책을 중국에서 마련해야지. 위구르도 중국꺼 몽골도 중국꺼 니들꺼면 환경도 책임져야하는게 옳은거 아니냐?,5,0,fdar****
벌받는거라 생각해라!하늘의 벌 말이다!하늘의 벌이 가장무서운 벌일것이다!,5,0,noda****
중국하고 중국인만 지구에서 쏙 빼가지고 태양계밖으로 던져버리고싶다,2,0,pyo2****
이참에 중국 된놈들을 모조리 쓸어가기를 바란다.,2,0,go12****
중국은 소수민족 60개의 독립을 막기위한 살해를 멈춰라! 너희들 원래 땅만 먹고 꺼져라. 너희들은 동이족이 건설해준 나라다.,2,0,rlar****
식목일 정해서 1인당 한그루만 중공들이 심어도 황사막 것다 미련한것들,2,0,swzo****
자연아~힘내!!!!!,2,0,zexr****
사진이 무슨 노란색 효과 어플 사용한 거 같냐,2,0,maji****
중국때매 창문도못열고답답해죽겠다,2,0,free****
지구촌의 민폐국가 중국,655,6,bong****
북경에 떨어저라,317,1,joco****
하여튼 지구에서도 쓰레기 우주에서도 쓰레기 짓거리 골라서만 하네,151,2,jk66****
우주쓰레기대부분이중국산이되겠네 지구에도움안되는종족,47,3,hwan****
중국놈들은 세계적 민폐국,13,0,wram****
동물들은 귀소본능이 있습니다. 로켓이라고 다르지 않습니다. 시진핑 침대 위로 좌표를 잡을 것 입니다.,12,0,dass****
시진핑 대가리위로 가라,10,0,id_w****
이게 처음이 아니고 몇년전에도 추락한다고해서 사람들을 떨게 했는데 국제사회가 나서서 중국은 로케트 우주로 날리지못하게 금지시켜야 되는거 아닌가? 능력도 안되면서 불량로켓을 자꾸 쏘아 올리네.,8,0,kjpd****
시진핑 똥싸고있을때 대구빡에 떨어지면 좋것다,7,0,aluq****
인류의 적 지구의 민폐,6,0,na19****
"""그중 71%도 물이고 대륙과 섬은 29%에 지나지 않습니다. 이 때문에 여기에 떨어지면 물에 떨어지지 사람 사는 곳에 떨어질 가능성이 거의 없고"" 29퍼가 가능성이 거의 없다는 뭔 극 낙관주의는 뭐임?",5,0,pyj2****
최강의 민폐국가...제발 분해되긴,5,0,gren****
미국에 떨어져 이걸 계기로 미국이 중국을 다시는 못 일어나게 짓밟아버렸으면 좋겠어요... 그리고 중국이 힘이 약해진 틈을 타서 위구르쪽도 독립해서 중국에서 떨어져 나갔으면 좋겠어요,4,0,doda****
친애하는 우주선 잔해에게...베이징 자금성 혹은 만리장성에 직접추락 부탁드립니다.,4,0,saga****
암튼 민폐국,4,0,samu****
도움 안되는 중국 없어져야할 나라1위다,4,0,snoo****
책임감이 뭔지나 아는 종족이냐고 저것들이 부끄러운것도 모르는 것들인데,4,0,andr****
국민청원 67만명의 힘으로 춘천 차이나타운 건설을 막아냈습니다! 강릉 정동진 차이나드림시티 건설중단도 국민여러분의 힘이 필요합니다! https://www1.president.go.kr/petitions/598133,3,0,vnfm****
"더러운 짱꼴라 왈 “계속해서 우주정거장을 건설하고 확장하면서, 앞으로 더 많은 장비를 보낼 것입니다.” 계속해서 전세계에 민폐를 끼칠예정이다. 라는 거지… 저늠의 족속들은 부끄러움도 없냐? 그냥 전세계가 합심해서 만들고 있는 우주정거장 박살을 내라!! 저게 과학 발전을 위한 정거장이 아니라 전세계를 감시하고, 침략해서 온통 짱꼴라 세상으로 만들고자 하는 짓거리다!!",3,0,qkfr****
전세계에 생화학 테러한 중국의 재산이 공공재가 되는게 옳다. 전세계 연합국이 중국 밟아놓고 100년간은 빚만 갚게 해야 한다.,21,1,kyoy****
중국꺼는 알고싶지 않다,6,1,kwsh****
이아이디 출발,3,0,kds3****
쟤네는 절대 주면 안된다. 우리나라같은 곳에서 만들어 라이센싱 으로 해야한다,3,0,lbj9****
중국.러시아는 독재국가니까 바로 시행하면 되겟네,3,0,left****
휴온스 대장,0,0,leea****
세계권력도 3강구도가 제일좋아 우리같은 떨거지들에게 콩고물이 많이 떨어지거든,0,0,hpys****
백신은 못 주지만 욕은 먹기 싫으니 만들수 있으면 만들어봐라는 건가,0,0,sbej****
코로나도 공공재? 그래서 전세계에~~?,0,0,hs55****
안되지~~!! 무슨 말도 안되는 소리,0,0,qpal****
복사약을 각국 제약사가 만드느냐 그거 .. 복사약이 되믄 머 생산량은 크게 늘겄지,0,0,sr20****
"미국놈들 자기들은 이제 확보 끝나가니까~,, 또, ???? 중국과 러시아 ????가,, 아프리카 와 남미 부터 백신지원 외교로 세력을 넓혀가는걸 보고,,, 주도권 헤게모니 를 뺏기지않으려고,,, 금방 되지도 않을 공공화 제인을 들고나왔네,, 한번 지켜보자!! (이것과는 별개로, 우린 유럽승인나면 스푸트니크 하루빨리 대량공급하여,, 국민면역 마쳐라!, 이젠 3번째 접종까지 준비해야하고, 그이후도 계속될곳이기땨문이다!)",0,1,hobu****
독차지한 백신으로 세계적인 나쁜놈될까 겁나나 보네~ 이미늦었다~~ 개발도상국에 풀리고 덕망은 럿아가 갖게된다.넌 그냥 미국자국이나 챙겨라~,0,1,hyun****
이제 미모의 중국인 통역사를 보여주세요.,1559,11,pokp****
미모가 얼어 죽었다,381,6,hanj****
미모가 아니라 이모 아니냐 기자가 시력이 나쁘네,369,3,lock****
저게 사실이라면 빌게이츠 취향 특이하네?...추자현이가 한국에서는 평범한 연예인이지만 중국에서는 엄청미인이거든....사진속 아줌마가 중국에서는 미인일지는 몰라도 우리가봐도 그닥인데?,221,26,bull****
주모는 보인다,104,7,tobe****
진짜 저 얼굴이 미모면...빌게이츠눈은 중국산인듯,57,1,team****
한민관 ?,49,0,cho4****
스파이 냄새가 난다!!!,31,1,jack****
저여자 미모는 그렇다 치더라도.. 전세계 유력인사나 정치외교 인사들 옆에 짱깨 간첩으로 보이는 여자들이 곳곳에 있네,30,0,wkfg****
"셸리 왕: ???? 중국 해외공작부대의 미인계 첩자,,,,?,,,,,한국에도 ~차이나타운, ~중국 국적 조선족 선거권, ~ 조선족 2세 한국국적 권에는 ????중국 해외공작부대의 미인계 첩자조직망 인민일보 인민망 한국지국장 겸 강원도 명예부지사 ""저어위보(1975년생.여)"" 조직이 있다,,,,,?",25,0,coon****
빌게에츠가 친중 성향을 보이는 이유다. 저 걸레는 중공이 관리하는 스파이다.,20,0,glda****
차이나미인계에걸리면ㆍ나라가 망하는데 빌게이츠 정도쯤이야 ㆍ,20,0,waxe****
미모 라는 단어를 모르시는분이 쓰신거 같은데...,13,0,dgpa****
"드뎌 중공 여간첩 미인계에 넘어건 빌! 그의 모든 재산과 회사가 곧 중공 소유가 될듯, 마윈의 알리바바처럼!!!. 바보같은 빌! 그리고 기자야 니 눈엔 어쩐지 몰라도 미인이란 단어는 이리 생긴 여자에게 하는 말이 아니다!그리 허접하게 털다 니 마누라에게 줘 터진다! ㅋ",13,0,vita****
중국몽꾸면서 공산주의찬양하기 시작한 시기랑 비슷하네,13,2,juwo****
미모?!???? ! 김여정 닮은 해골바가지ㅋ,10,1,minn****
헐 ~~~;;;빌게이츠가 뭐가 아숴워서 저런 중국여자를 사귀냐!!! 아무기사나 가져다가 올리지마라!!,9,0,zzdo****
저 통역사와 중국 중앙선전부와의 연관성을 조사해야 함,9,0,line****
나라를 세계를 지배하는건 남자지만 그 남자를 지배하는건 여자라는 말이 참 새삼스럽다 아이고 이 멍청하고 순진한 남자들아ㅉ,9,0,then****
도대체 어떤 대가리를 가져야 소중한 생명을 택배로 보내냐.. 하 진짜 미개하다,162,0,door****
"우리나라도 개장수, 개농장, 집에서 강아지, 고양이 교배시켜 인터넷으로 애들 파는 것들 모두 일망타진 시켜야.",41,1,hju7****
중국스럽네 놀랄일도 아니다,29,1,taey****
우리나라도 저렇게 팔아요ㅠ 요즘 사고파는 강아지 사이트생겨서 거기도 논란있었는데. 우리나라도 동물보호법 엄격히 규제 해야합니다ㅠ,23,1,w980****
중국 니들은 니들 땅에서 뭘 하건 세상 밖으로 기어나오지 않으면 됨. 중국 기사 보기도 싫다.,15,0,wkdt****
중국은 높은 산봉우립니다 쩝쩝쭈어어업~~~ 미스터 문,6,3,torr****
생명이라고 보호해야한다면서 일부의 생명들만 보호하는것도 웃기고 저렇게 동물들을 생명이 없는 물건마냥 취급하는것도 너무 싫다,2,0,ssy7****
저주받아라 동물을택배로 받는인간들은 뭐냐!!!,2,0,777l****
하;; 진짜 어찌 저런 생각을 ...,2,0,just****
중국 욕할것 없어요 우리나라도 만만치 않아요 동물법좀 강화시켜라,2,1,harl****
또 중국이 중국했네... 무식하고 미개하고 두뇌라는 것이 없는 것 같다.,1,0,yeeu****
식용으로 배달하는데 무슨 문제지?,1,0,choi****
"요즘 중국땜에 아시아인 증오범죄 피해받는것도 열받는데, 이걸보니 지구의쓰레기 중국새끼들 더 싫어지네.",1,0,tjsg****
사는 놈이나 파는 놈이나,1,0,yout****
예초부터 개를 키우지들말아라.저들 심심풀이 장난감 노릇만 하길원하지..,1,0,jwhu****
"하...우리나라 개장수, 개농장놈들처럼 사람구실 제대로 못하는 말종들이 중국에 저렇게 많다는 뜻인가?",1,0,rt45****
"아,,,왜 중국 중국 그러는지 이유가 있는거다 참 무식하지",1,0,dmle****
"우리도 얼마전까지 저랬어아니 개,고양이 빼고는 여전히 택배거래가 활발하지",1,0,palm****
살아있는 생명에게 너무 가혹합니다. 얼마나 숨막히고 고통스러웠을까요? 이렇게 잔인한 행동을 하는 사람들은 똑같은 고통을 경험하게 라도해서 정신차리게 혼내줬음 좋겠네요.,1,0,chee****
하.. 진짜 짱깨 못말려..,1,0,torr****
잘된 일인데 무슨 큰일 이라도 난 것 같은 기사는 뭐냐? 짱깨들 줄었다니 오히려 다행인 것. 가서 오지마라.,45,0,deff****
중국인들 씨가 말랐다 는건 대환영 해야 할 일이자나.,15,0,sda2****
인력이 줄어드는게 당연한거 아냐? 여태까지 짱깨가 저비용으로 개기니 다 떠났지.. 이제 다시 구하려고 짱깨 없다는게 말이돼? 짱깨 땜에 국내 건설 생태계 다 다 파괴됐어.. 알긴 아냐,15,0,dkli****
일 안해도 각종 지원금에 긴급생계비 근로장녀금 지금은 주거급여까지 거의 지원해 주는데 힘들게 현장일 누가 할려하냐. 오히려 일 열심히하면 정부 지원금 못 받으니 더 일들을 안함,11,2,bumh****
한국인들도 일자리가 없다는데 한귝인들은 못할일인가요??? 신기하네요??,7,0,just****
이참에 대한민국에서 중국인 전멸했으면 좋겠습니다.,4,0,sho_****
노가다는 안 뛰겠다는 젊은이들을 탓 할수는 없다 보고 자란게 있으니... 외국인 받을꺼면 차라리 몽골이나 미얀마 러시아 고려인을 늘려라 조선족은 좀 그만 받아라,4,0,kill****
"중국인유입 달갑지 않습니다. 나갔던 3만4881명이 돌아온다면, 코로나 확산은 뻔한데.....그리고 국내 상점은 어디 장사가 됩니까? 보도자료만 보고 긁어서 쓰지말고 머리라는 걸 좀 씁시다.",3,1,seik****
코로나로 좋은점도 있네요,2,0,trad****
기자야 이런 기사 부끄럽지 않니ㆍ손바닥으로 하늘을 가리고 넌 평생 고양이 세수만 해라,1,0,yang****
좋은 일이다.,1,0,wons****
"젊은 친구들은 힘든일은 하고 싶지 않아 하고... 생산직, 건설업 기업인 인력이 부족하고.... 한국인은 외국노동자에 비해 인력도 많이들고...",1,0,rned****
교포? 교포의미가 뭔지 알고 쓰는건가?,0,0,sung****
부디 코로나가 오래오래가서 중국인들이 한국에 남아있지 않길 ~~~,0,0,fort****
우리나라 코로나19 방역이 중국보다 못하다고 볼수 있을까요? 현정귄은 K방역 자랑질만 하다가 나라 전체가 코로나19확산되고 백신확보도 후진국이고 중국보다도 못한건 누구때문일까요???!!!,0,0,ieya****
일자리 없다카드만 일하기 싫다고 해야지 과연 양질의 일자리는 대기업뿐인가? 일자리가 없어서 난리라 카드만 이건머꼬,0,0,rlad****
한국내 현재 대규모 중공인들 집단거주지가 30여곳 이상. 한곳당 1만명씩만 잡아도 30만명이상ㅈ이고 그들은 한국의 법과 질서를 존중하지않는다. 경기도 포천과 강원도 정동진에서 벌어지고 있는 새로운 차이나타운 건립취소를 위한 청와대 국민청원에 관심을 가져야 한다,0,0,myli****
문재앙이랑 좌파들 바램대로 미국이 한국에서 손을 떼면 딱 저 꼴 나겠지 ㅋㅋㅋㅋㅋ,175,71,kimk****
옛날에 미국 꺼져 했다가 진짜로 미국이 꺼져주니 바로 중국한테 털려서 현재는 매춘으로 근근히 먹고사는 똥남아 필리핀 원숭이들 ㅋㅋㅋㅋ,82,28,kimk****
중국에 해양영토 뺏기는 것 보다는 그냥 좌파가 미국 식민지 운운하는 소리 들어도 미국 이용하는게 낫지 않나?,40,12,3141****
중국이랑 협력해서 잘된나라가있나?? ㅋㅋㅋㅋ,35,7,cjak****
전세계 어딜가던 중국인이라고 하면 대접 못받지,37,11,bare****
짱께는 인류의 공동의적. 우한폐렴으로 온지구 모든사람이 고통받고 죽어가고있다. 반드시 ??은 구상권을 정구해야할것이다.,5,0,koss****
중국 공산당이 싫어요????????,5,1,i2us****
외무장관이 상욕 한 뒤 대통령은 중국 백신 맞고 외무장관은 사과를 했다…,4,0,leno****
대통령 생긴게 흑돼지처럼 생겼네,3,0,eagl****
지구의 적 쫭개??,3,0,mr50****
중국오랑케 좋아 하는 친중 인간들이나 일본좋아하는 매국노 들이나 똑같다.. 북한좋아하는 종북 빨갱이들이나.. 나라 말아 쳐드시는 이것들 똑같은 늠들이다... 애국은 공찰때나 애국이고 올림픽할때만 애국이냐? 애국하는 꼬라지를 못보겠다.,3,1,deam****
전세계에서 유일하게 중국과 미국으로 부터 삥 뜯는 나라다!,3,1,wjst****
주인 못알아보고 멍멍거렸다가 바로 깨갱 ㅋㅋㅋㅋㅋ,2,0,doli****
사과하지 말지 바른말햇는데 아깝다,2,0,melt****
