,0
799,3
800,27
801,5
802,1
803,0
804,7
805,1
806,1
807,1
808,4
809,1
810,2
811,0
812,2
813,1
814,3
815,0
816,10
817,0
818,1
819,0
820,10
821,3
822,6
823,0
824,7
825,3
826,4
827,0
828,16
829,1
830,0
831,0
832,5
833,3
834,2
835,5
836,1
837,1
838,12
839,6
840,3
841,3
842,0
843,2
844,2
845,2
846,7
847,4
848,1
849,12
850,25
851,4
852,22
853,0
854,19
855,1
856,8
857,1
858,0
859,1
860,7
861,1
862,1
863,1
864,4
865,2
866,0
867,1
868,2
869,0
870,3
871,0
872,10
873,0
874,1
875,3
876,10
877,6
878,7
879,0
880,4
881,3
882,1
883,0
884,16
885,0
886,0
887,5
888,3
889,2
890,5
891,1
892,12
893,1
894,6
895,3
896,3
897,0
898,2
899,2
900,2
901,7
902,4
903,1
904,25
905,12
906,22
907,4
908,1
909,0
910,19
911,8
912,1
913,0
914,1
915,0
916,153
917,11
918,277
919,8
920,37
921,2
922,360
923,5
924,5
925,0
926,7
927,0
928,5
929,1
930,5
931,2
932,15
933,1
934,25
935,4
936,4
937,3
938,1
939,0
940,23
941,0
942,1
943,0
944,9
945,0
946,2
947,0
948,1
949,0
950,23
951,11
952,13
953,0
954,44
955,0
956,1
957,1
958,2
959,1
960,1
961,1
962,2
963,0
964,0
965,0
966,1
967,0
968,1
969,1
970,17
971,5
972,9
973,8
974,1
975,1
976,6
977,2
978,13
979,7
980,6
981,1
982,2
983,1
984,4
985,4
986,1
987,1
988,0
989,0
990,4
991,3
992,5
993,0
994,8
995,0
996,5
997,1
998,5
999,2
1000,1
1001,15
1002,4
1003,25
1004,4
1005,3
1006,0
1007,1
1008,23
1009,0
1010,1
1011,0
1012,9
1013,0
1014,2
1015,0
1016,1
1017,0
1018,23
1019,11
1020,13
1021,0
1022,44
1023,0
1024,1
1025,1
1026,2
1027,1
1028,1
1029,1
1030,2
1031,0
1032,0
1033,0
1034,1
1035,0
1036,1
1037,1
1038,17
1039,5
1040,8
1041,9
1042,1
1043,1
1044,6
1045,2
1046,13
1047,7
1048,6
1049,1
1050,2
1051,1
1052,4
1053,4
1054,1
1055,1
1056,0
1057,0
1058,4
1059,3
1060,0
1061,0
1062,9
1063,8
1064,7
1065,0
1066,2
1067,7
1068,5
1069,0
