,0
799,0
800,7
801,0
802,10
803,0
804,53
805,4
806,1
807,7
808,1
809,12
810,2
811,7
812,1
813,2
814,1
815,2
816,0
817,4
818,1
819,1
820,0
821,6
822,0
823,0
824,10
825,4
826,1
827,1
828,1
829,0
830,0
831,2
832,1
833,2
834,0
835,1
836,6
837,1
838,5
839,1
840,2
841,6
842,45
843,9
844,5
845,8
846,1
847,7
848,3
849,6
850,1
851,6
852,0
853,13
854,33
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,7
864,1
865,5
866,1
867,2
868,0
869,1
870,4
871,6
872,0
873,0
874,2
875,3
876,0
877,0
878,0
879,0
880,0
881,2
882,0
883,1
884,0
885,1
886,19
887,11
888,1
889,7
890,0
891,0
892,0
893,1
894,23
895,2
896,5
897,1
898,5
899,10
900,2
901,6
902,18
903,1
904,9
905,6
906,1
907,8
908,0
909,2
910,48
911,2
912,50
913,2
914,22
915,5
916,45
917,15
918,44
919,5
920,27
921,1
922,36
923,11
924,31
925,2
926,19
927,5
928,70
929,20
930,77
931,9
932,41
933,3
934,49
935,21
936,169
937,3
938,29
939,12
940,3
941,3
942,0
943,2
944,0
945,0
946,1
947,2
948,1
949,1
950,0
951,1
952,2
953,0
954,4
955,0
956,18
957,1
958,8
959,0
960,0
961,0
962,8
963,0
964,0
965,0
966,0
967,1
968,11
969,4
970,8
971,3
972,7
973,1
974,4
975,0
976,2
977,0
978,1
979,3
980,3
981,1
982,36
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,2
991,1
992,1
993,2
994,6
995,2
996,0
997,1
998,1
999,0
1000,5
1001,3
1002,6
1003,1
1004,3
1005,2
1006,3
1007,1
1008,0
1009,0
1010,6
1011,3
1012,2
1013,5
1014,0
1015,3
1016,1
1017,0
1018,9
1019,1
1020,0
1021,0
1022,7
1023,1
1024,1
1025,1
1026,1
1027,0
1028,6
1029,1
1030,5
1031,1
1032,5
1033,0
1034,0
1035,0
1036,14
1037,0
1038,3
1039,2
1040,1
1041,2
1042,4
1043,0
1044,1
1045,1
1046,6
1047,0
1048,0
1049,0
1050,10
1051,4
1052,1
1053,1
1054,1
1055,0
1056,0
1057,2
1058,1
1059,2
1060,0
1061,1
1062,6
1063,1
1064,5
1065,1
1066,2
1067,6
1068,45
1069,9
1070,8
1071,5
1072,7
1073,1
1074,6
1075,3
1076,6
1077,1
1078,13
1079,0
1080,33
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,0
1088,7
1089,0
1090,5
1091,1
1092,2
1093,1
1094,0
1095,1
1096,4
1097,6
1098,0
1099,0
1100,2
1101,0
1102,0
1103,0
1104,0
1105,2
1106,0
1107,1
1108,0
1109,1
1110,3
1111,0
1112,1
1113,0
1114,0
1115,0
1116,7
1117,0
1118,10
1119,4
1120,53
1121,1
1122,7
1123,1
1124,12
