,0
71,"원래  기술이란게  다른나라에서 배우고  얻어내는거지만  드중국처럼  대놓고  홈치는  나라는  ㅡㅡ  처음인듯
일본도  독일걸 홈쳤고  한국도  일본걸 훔쳤다지만  자기능력을 바탕으로 발전시킨건데   중국은  자기능력은 하나도 없고  그냥  다  훔칠생각만  하는듯"
72,"어차피 핵은 못쓴다  방어용 마지막 수단이지.  자기가 다 죽을 각오 아니면 무용지물.
소련 잡으려 중국  키웠는데..
이제 중국차례
한국도   중국성장 갖고   꿀 빨았는데
이제 걱정"
73,중국은 이제 세계각국의 첨단 기술을 스파이로 하여금 취득해 장비의 첨단화를 이룩했다. 어떻게 굴복 시키냐가  관건이지만 계속 성장할것은 불보듯 하다. 우습게 볼일 아니다.
74,중국산 고철 떵어리로 설치네~거지국가 답게 살아라!ㅗ
75,중공아웃
76,"중국산을 믿을수 있어야지!
발사했는데 홍콩으로 가면 어쩌나!!!
ㅋㅋㅋ !"
77,핵탄두 발사하는순간...3000여발의 현무4가 중국 전역에 폐허로 만들거야....
78,"중국이  20세가 이후 일으킨 전쟁에서 이긴적이 있나?

베트남 한테도 못이겼는데

자국내에서 타민족 탄압은 잘하지"
79,중공 망해야  우리가산다
80,어차피 못쏘는 무기아닌가 ㅋㅋㅋ
81,에이 중국산인디  점  움직이다  말겠지
82,걸레는 암만 빨아도 걸레다!
83,"중국산 백신 횟수도 미국 추월했고,
코로나 역병 발생도 미국 추월했고,
중공의 중국인 학살 만행도 미국의 인디언 학살 추월했고,

중국 우한서 시작된 코로나가 미국 유럽,인도 등 돌고돌면서 숨고르기 한뒤 
이제 중국땅서 본격적으로 변이 코로나 대확산할것!
왜?
중공의 쌓이고쌓인 만행이 빚은 중공 바이러스고,
중공의 수많은 학살 만행, 특히 파룬궁 심신수련단체에  대한 모함 및 강제생체장기적출 돈벌이 잔혹한 학살은 지금현재도 진행중이기에

사람이 안다스리면 하늘이 다스린단 말이 있지않나? 역사적으로 큰 역병은 그 사회도덕 폐괴가 원인"
84,및 을수얺다중국백신
85,바이러스 근원지에서 저게 신뢰도가 있는 발표라고 보이나???
86,"중국통계를 믿는 분이 있습니다
그냥 웃고 갑니다
중국은 믿고 거릅니다.
코로나 발생국 중국의 통계입니다"
87,90%는 거짓말이죠 중국은
88,"콩사탕 통계를 어떻게 믿을수 있을까? 콩사탕 처럼.작아질수 있고, 콩사탕 처럼 커질 수도 있을 텐데..."
89,"중국말믿나요
중국코로나로죽은사람ㆍ제대로밣힐까요ㆍ천만에ㆍ중국사람들지져분하고
과격폭력툭하면싸움질퇴출시켜라
중국나라되겠다ㆍ딴나라사람들은조용
한데ㆍ중국사람들은과격하다ㆍ큰일"
90,"중국의 백신도 못믿겠고
중국이 발표한 수치도 못믿겠고
기레기도 못 믿겠고"
91,울학교 중국 유학생이 한국 코로나를 걱정하더군. 백신 접종률이 얼마나 되냐고 묻길래 아스트라제네카 때문에 망설이는 사람도 있다고 했더니 그럼 아무 문제 없는 중국백신을 수입하면 될거라고 넘 해맑게 이야기하더군.
92,어차피 저 나라는 다 분식이라.... 안 걸릴 때까지는 괜찮겠지만 언제까지 안 걸릴 수 있을지.
93,내수시장이 거대하니 매출이 늘수밖에 수출은 얼만지 좀 알아서 기사 올리죠...!
94,우리가 전기버스 개발했을때 나몰라라 했던 정부...이익없다고 중국에 헐값에 팔아먹고...이제서 중국에 뒤 처져있다고..ㅜㅜ신 기술 개발하면 제발 정부에서 밀어주셔...중국처럼... 이제서야 다 넘겨준뒤 신세한탄...ㅉㅉㅉ
95,우리나라에는 이런 기업들이 나타나지 않을까?
96,공짜로 줘도 안갖는게 녗개 있는데 그 중 하나가 중국차
97,"중국에서만 팔리는 차 저거 주식샀다간 골로 간다 루이싱, 이항"
98,? 중국산이면 바로 터지는거 아님?
99,짝퉁 수호이 젠16.   격추시 미사일도 아까운 중국산.
100,"가까이오면맞혀바라
그래야안오지"
101,똥싸네
102,"F35랑  붙어봐
누가 이기나보게"
103,그물로 잡으면 됩니다
104,바로 격추바랍니다
105,미사일발사ㆍ우발적
106,그냥 격추시켜라
107,자동화 사격장치를 해라 식별되면 무조건 미사일발사해버리는....
108,경제적으로 성장을 하는한 중국의 붕괴는 없다. 인간은 사상을 먹고사는 동물이 아니라  의식주에 만족하며 사는 동물이기때문이다. 배고프고 추운 늑대보다 배부른고 따든한집이 있는 개를 선택하는게 인간의 본능이다. 일반 서민들이 애용하는 중국의 식당에 가보면 대부분의 사람들 얼굴이 밝고 활기에 차있다. 10년을 넘게 중국에서 무역업에 종사한 경험에 의하면 생산공장도 활기차게 돌아가고 있으며 중국의 시골 도로도 이제는 한국보다도 더  잘 포장되어있다. 이러한 중국이 왜 붕괴 하겠는가?  이념보다 더 중요한것이 생활안정이다.
109,중국멸망 세계평화
110,색다른 예측이네요. 동의하긴 어렵지만
111,"중국 현재 꼬라지보면

자체 붕괴보다는 조만간

전세계 국가들한테 맞아죽을듯"
112,영원한건 아무것도없다. 지금은 맞고 나중엔 틀리다. 지금은 틀리지만 나중엔 맞다.
113,"중국이 빨리 붕괴되지 않으면  전세계 국가가  힘을 합쳐서
붕괴시켜야 한다. 새로운 민주국가 체제 모델은 대만이다.
아니면 대만이 통일하도록 도와주는 방법도 있다.  현재
중국 공산당은 전세계에 막대한  피해를 주고  있다.  빨리
붕괴시키자."
114,그렇다면 우리의 선택은 ....역사를 봐도 중국의 영향력은 거의 절대적이다..피해갈 수도 없는 지정학적의 위치에 있다. 그렇다고 미국은 멀리 할수없다. 한반도에 남북은 서로 살을맞대며 불안한 동거를 하고있다. 중국은 북한을 절대적으로 이용하며 붕궤를 막고있다.한반도의 통일은 미국과 국경을 접하는 꼴이된다. 중국은 한반도의 현상을 그대로 유지할려고 할것이다.우리의 선택은 한정돼 있다.중립이다.....
115,"문화혁명때 지부모를 죽인애들이 지금은 자식들을 애지중지 키운다

참 어처구니 없는 중국이다"
116,애쓰네 ..
117,"이런 쓰레기신문같으니라구
중국이 붕괴하기전에

머니투데이가
먼저
망한다에

한표
걸겠습니다"
118,"미개한 오랑캐라서 그리쉽게 되지는
않겠지만  반드시 그리된다"
119,머지않아 자연스레  자치구가 분리될 겁니다
120,차라리 방사능유출민폐대국 일본이 망하는게 더 빠를듯..
121,"우리가 먼저 인식해야할것은
중국과중공은 다르다는개념이다
보통 중국과중공을 한 개념으로보는견해가
많은데 그건 틀린개념이다
지금15억 중국을통치하고있는정권은
5천년 심오한 전통.정통.사상과문화를가진
 중화민족이아닌1949년에 마르크스를시조로
 마우쩌둥이수립한72년 중국공산당일당독재체제집단이다 즉 중국공산당이 중화민국정권을찬탈했다
중국공산당이 멸망붕괴해야할이유?
첫째 사상.집회.표헌.신앙.인권 즉 보편적가치도
존재하지도않는 사상마져도통제하면서 무조건 당의명령이나 지침을 믿고따라야하는독재사탄교집단!
소수민족과파룬궁탄압등생체장기적출인권학살!"
122,"중국 소수민족  위구르 티벳 내몽곤 조선자치구
홍콩 마카오 독립하면 중국이 약해질건데"
123,"중공, 빨리 망해야 하는데."
124,나중에 지네꺼라 우길라
125,"갓뚜기 비비고 더 힘내주세요
물 들어온김에 노저읍시다"
126,이것도 원조라고 우기겠다
127,건강 해친다
128,"당장에 팔리고 돈벌리니까 좋을지 몰라도 이런식으로 계속 중국 의존도 높이면 잡아먹힌다

판로는 중국말고 딴데로 뚫어라

중국은 그냥 없는 나라 취급해야됨 나중에는 복종해야되는수가 있음

그리고 문재앙 대깨문들이 사라져야 나라가 살아나니까 주변에 대깨들 있으면 불태워도 무죄임"
129,이미 한국꺼 카피해서 팔고 있을거다
130,"저러다 삐지면
불매운동해서 싹 다 불태운다
또 몇년지나면 똑같이 만들어서 팔고"
131,기사 의도가 뭔가?
132,"중국의 다음 공정이 떡볶이가 될 수도 있겠네. 근데 중국 본토 음식중에 외국에 소개 할 만한 일반적인 중국 음식은 없나? 제비집, 샥스핀, 박쥐탕 등 다 일반적이지 않은 것 밖에 없어."
133,중국  에서 한국제품  카피한  짝퉁 만   잡아주면  안전한  식품  대량 공급  가능하다
134,"이웃나라들과 사이좋게 지내자
우리가  먼저 포용하고 넓히자"
135,중국수출 제품에는 한자쓰지마라 한자쓴다고 다 중국것이라고 함
136,시진핑 방한에 재뿌릴려고 반중 감정을 조장하는 토착왜구들
137,"한국 만두 갖고 또 이따

장난질 치것네"
138,라면도 중국꺼라고 할껀데
139,"정작 우리는
맛없고 믿을 수 없는 우리 주식이나
다름없는 부식  김치를 싸다는 이유로
수입 해 먹는 현실~
건강보다는 경제성,,가격 안정성만 따지는
업자나 정부~"
140,이미 문화에서 한국 승리
141,포장만 한국산으로 위장하는 중국제품 나오겠네
142,다합쳐봐야 얼마 안되네
143,"낙도 탈환이라고? 
이것들이..."
144,"일본에게 말하고 싶다.
센카쿠는 100%일본 땅이다.
독도는 100% 한국 땅이다^^"
145,누구 땅인지는 알바 아니고 그냥 둘이 피터지게 한 판 해라. 이왕이면 중국이 이기지 않기를 빈다
146,일본도 전쟁준비하고있구나
147,일본은 다 자기들 땅이라고 우긴다.미국 믿고
148,중국 신축 집값 상승도 알아야 합니까?
149,"누가 믿나
공산당개들"
150,차라리  김정은이  말을  믿는게  낫지
151,무증상????  몸에   바이러스 있으면  확진자지  무슨 댕댕이  소리야
152,"ㅋㅋ중국. 출장갔다가 친하게 지내는 중국인 본토 동생있는데 코로나바이러스가 미국에서 퍼트린거라드라ㅎㅎ
내가 미쳤냐고하니깐 이건 사실이라며 떳떳하게 말하드라ㅋ그래서 우한에서 발생한건 아느냐고 되물으니, 미국인이 거기까지 와서 퍼트린거란다ㅎㅎ
중국 이ㅅㅐ키들은 바이러스 걸려도 이게 바이러스 증상인지 감기 증상인지 아무것도 몰라~~그러니 통계가 저 모양인거지ㅋㅋ
행여 걸렸다고치자? 그냥 끌어묻을껄ㅋㅋ왜냐? 독제정권이 더 중요하거든~~흔들림없는 시진핑 정권ㅋ이건 목숨받쳐서라도 지키고 하고싶을거야"
153,중국을  믿을수  있다고  생각하나
154,중국은 실제로  확진자가  없어요.   믿는다  안믿는다 그런분들은   중국에  한번 다녀오고  그런말하세요.   같은 한국인으로서  부끄럽네요.   중국입국은  자가격리가  28일간. 참고하세요.
155,안 믿김!
156,"집단면역인가?
전부 코로나"
157,곱하기 100
158,"아직도  중공의  말을 믿는 사람이 있을까?
거짓으로 만들어지고 거짓으로  정치를
하는  공산국가를 누가 믿을까?
진정한 공산은 분배가 아니냐
그런데 왜 공산국가는 빈부차이가 있냐"
159,대깨문들 혼절
160,ㅋㅋㅋ이걸 왜 기사라고 중국 믿니??
161,아~~~예~~
162,중국이 말하는 자료는 믿을 수 있나?
163,믿어야돼?
164,중국이 인구가  몆인데 확진자 수가  그렇게 적어? 누가 봐도 거짓 아님?
165,쯧쯧 믿니?
166,"장궤와 러시아 마피아들은 권력을 위해서

장자연 종양 대동아아공영 일보가 밥먹듯이 하는 거짓 선동을

정부차원에서 하는 것들인데 그런 것들이 만든 백신 들여오자는 것들은 뇌가 있는건지

동남아에 차이나타운 건설해서 경제 정치 권력 강탈해 원주민들 차별하는개

중국의 상투적인 수법이다

이를 미연에 방지하려면 중국외노자들 전부 추방해야한다"
167,당연히 집계가 안되지 의심되면 다 사라지는데
168,아직도 사기바이러스인거 파악못하나  뉴스로만 사고하는 가축들
169,희한하단말야. 지들끼리 뭐 맞고 있나???..  인구가 몇인데.
170,질병청아. 잘 검토해봐라. 내가 중국에서 사업중인데 일단 중국은 외국 입국자는 국적과 상관없고 중국인도  14~21일 격리 시설에서 강제 격리다. 격리비용도 65만원 정도 자가 부담해야 돤다. 우리나라는 자가격리라는 이런 허술한 대응 때문에 코로나 벗어날수가 없다.
171,이걸 믿나?
172,"착해지고있구만
좋은 현상이야
기왕이면  지진과 해일
역대급 장마도 가서
더 착해지면좋겠네"
173,사람 생명에 무분별한 악플 달지좀 말자
174,아~~이기레기때문에 죽긋네ㅜㅜ
175,"지구환경  망친 장본인들
중국.일본,자연이 용서하지 않을듯
더큰 자연재해가 발생할듯"
176,중국뉴스 가져 오지마
177,"비행기 90도 회전해서 11명 사망한줄 착각은
나만한건가??"
178,착하게 좀 살지 그랬니
179,"Free Hongkong
Free Tibet
Free Uyghur"
180,진짜 제목가지고 장난질 그만해요
181,자업 자득이다 . 그리고 하나만 더 말하면 그 누구도 막을수 없는 더한것들이 중국으로 다가올것임.  이것은 나도 어쩔수 없는것임 ....
182,중국은 관심없다!
183,뿌린대로 거두리라
184,벌받네 벌받어
185,"시진핑 사진을 보면서

윤석열은 중국산 히틀러 같은 외모를 지녔구나 하는 생각이 오늘 계속 떠오르네"
186,"이런 중국도 제조업에 투자하는데 여긴 제조업 삥뜯기,  역대 대통령 전체다하고  지금 대통령도 대기업총수들 길들이기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 하"
187,중공이 대만 날로 먹으려고 안간힘을 쓰는구나.  미국이 대만하고 손잡음.
188,"대만은 민주주의 국가다 대만자유독립 국가 우방국가는 한국 미국 일본
등 자유 민주주의 국가들이다 대만 자유독립을 지지합니다"
189,"중국이 그토록 원하는 티베트, 위구르까지 다 끌어안고 하나의중국을 완성하는 가장 간단한 방법은 중국이 자유민주주의 연방국가로 변하는 것이다. 
이미 영국, 미국, 러시아 등이 잘 써먹고 있는데 뭔 저런 무식한 체제를 아직도 고수하면서 아직도 저런 한심한 잡음들을 만들어내냐?"
190,"대만의 민주 국가를 전세계가 지지한다. 
지금의 중국 공산당은 간섭하지 말라."
191,대만힘내라 그닥조아하진않지만 중국보단 낫다
